"responseid","startdate","enddate","agegroup","state","area","edu","race","income","marstatus","armedforces","lbgtq","howhear","howheartext","yeargrad","whyattend","everrun","everwon","officeran","soughtreceivedappointed","soughtappointedtext","activeparty","commuting","famcaring","volunteering","workinggov","workingeve","workingweekend","workingotherjob","constitserv","fundraising","polevents","occupation","employed","employedtext","employedlead","hhexpenses","children","childage","distance","whyseek","whynotseek","discrimclass","discrimgender","discrimsexorient","discrimrace","needraisemoney","negadvertising","campaigndiff","officediff","timefam","worklife","fearlose","privacy","loseincome","fearnotseriousvoters","fearnotseriouscolleagues","fearnotseriousparty","biggestchall","planrunfuture","whenplanrun","whathelpemerge","menopps","solves","exciting","certaintype","certaintypetext","openseat","multiseat","manyrun","endorsementincumb","endorsementother","nowomanheld","communitystruggle","appointment","n","white","ran","won","areas","breadwinner","plan","planrun","yearstorun","runyearsfromgrad","aggressivecand","aggressivelead","assertivecand","assertivelead","calmcand","calmlead","compassionatecand","compassionatelead","decisivecand","decisivelead","goodnegcand","goodneglead","honestcand","honestlead","indepcand","indeplead","knowledgecand","knowledgelead","leadabilitiescand","leadabilitieslead","nurturingcand","nurturinglead","sensitivecand","sensitivelead","aggressivediff","assertivediff","calmdiff","compassionatediff","decisivediff","goodnegdiff","honestdiff","indepdiff","knowledgediff","leadabilitiesdiff","nurturingdiff","sensitivediff","emergestate","reasons","_Irace_2","_Irace_3","_Irace_4","_Irace_5","_Irace_6","_Irace_7","_Irace_8","_Ilbgtq_2","_Ilbgtq_3","_Iarea_2","_Iarea_3","_Istate_2","_Istate_3","_Istate_4","_Istate_5","_Istate_6","_Istate_7","_Istate_8","_Istate_9","_Istate_10","_Istate_11","_Istate_12","_Istate_13","_Istate_14","_Istate_15","_Istate_16","_Istate_17","_Istate_18","_Istate_19","_Istate_20","_Istate_21","_Istate_22","_Istate_23","_Istate_24","_Imarstatus_2","_Imarstatus_3","_Imarstatus_4","_Imarstatus_5","_Imarstatus_6","_Imarstatus_7","rentown","_merge","office","sheriff","clerk","mayor","coroner","alderman","judge","council","da","board","freeholder","school","commission","congress","governor","party","legisl","citymisc","city","county","state.o","natl","offs","lvls","singlehh","job","inc","binincome","eth","activedem","educ","vet","renter","lgbt","kids","psychindex"
"R_1rxouZJ2qWYR8zU","5/19/16 16:47","5/19/16 17:14",4,"California","Rural",7,"African American",5,"Married","No","No","Emerge alum","",2009,"Was considering running for office and wanted to learn more about it","No","","","Yes, I sought an appointive office and received the appointment","County Commissioner","Yes, somewhat active",4,2,3,1,3,3,1,1,2,2,"Educator","No, other (please explain):","Recent graduate","",0,"Yes",30,8,"To offer a different perspective on discussions on gender inequity, education  and environmental concerns","",0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,"","Yes","I haven't thought about it that much yet"," the past 6 years. Therefore I was unable to contribute financially to campaigns as I would have liked.",5,4,5,1,"",3,3,2,5,5,3,5,"Yes, received",1,0,0,NA,1,NA,"",NA,NA,NA,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,"California",4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.5,3,"Black",2,0.75,0,0,0,1,0.1875
"R_1WTVo8KnDlZ0v5L","5/27/16 9:31","5/27/16 16:45",NA,"","",NA,"",NA,"","","","","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,"",NA,NA,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",1,0,0,NA,NA,NA,"",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,"Other/Prefer Not to Say",NA,NA,NA,NA,1,1,0
"R_1zzCTXiIgFmTKxj","5/7/16 12:01","5/7/16 12:11",4,"New Mexico","Urban",7,"Asian",5,"Living with a partner","No","No","Emerge alum","",2008,"Was considering running for office and wanted to learn more about it","No","","","Yes, I sought an appointive office and received the appointment","Governor's appointee for the Office of Faith-Based & Community Initiatives","No, not active",3,3,3,3,2,1,1,2,1,2,"Education Advisor","Yes, full-time","","No",3,"Yes",32,5,"The personal has become political.  There is great need for political awareness especially in a state that espouses to be a majority, minority state.","",1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,"","Yes","2018","More support from Emerge alums...",5,3,5,3,"",4,3,3,5,5,3,3,"Yes, received",1,0,0,NA,3,1,"2018",2018,2,10,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,"New Mexico",4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Rent",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0.5,3,"AAPI",0,0.75,0,1,0,1,0.5
"R_20OLZsKfU1rh88m","8/2/16 21:03","8/2/16 21:17",2,"Nevada","Suburban",5,"White/Caucasian",9,"Married","No","No","Other (please specify)","Mentor",2007,"Was considering running for office and wanted to learn more about it","No","","","No, I haven't sought appointive office","","Yes, very active",3,2,3,2,4,4,1,3,3,4,"Executive Director of a Progressive Org.","Yes, full-time","","Yes, high-level leadership or management",3,"No",NA,9,"","I cannot afford to quit my job to run. I considered running for Assembly this cycle but because of the nature of my work it would be a conflict of interest to run and work for my org. I also then could not take time off to serve for similar rea",0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,"","Yes","2018","Helping me to find a new job that would allow me to run, serve and still collect a paycheck.",5,4,5,4,"A strong leader who is determined to win. Someone who will not back down in a fight and does not view being assertive or aggressive as a negative. Someone who knows what they believe and sticks to it while being flexible enough to work with peo",5,3,2,4,4,5,5,"Haven't sought",1,1,0,NA,2,1,"2018",2018,2,11,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,"Nevada",4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,5,"White",3,0.5,0,0,0,0,0.5625
"R_20OStOkFWcq5pSK","5/6/16 20:23","5/6/16 21:05",NA,"","",NA,"",NA,"","","","","",NA,"","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,"",NA,NA,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"",1,0,0,NA,NA,NA,"",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,NA,"Other/Prefer Not to Say",NA,NA,NA,NA,1,1,0
"R_20SBVW22DKerNcI","8/1/16 12:24","8/1/16 12:40",5,"New Mexico","Urban",6,"White/Caucasian",1,"Widowed","No","No","Emerge organizer","",2006,"Wasn't sure about running for office but liked the program and/or the idea of leadership training","No","","","Yes, I sought an appointive office but didn't receive the appointment","County Clerk","Yes, very active",1,3,3,1,1,1,1,1,2,3,"Writer","No, other (please explain):","I do it for fun.","",0,"Yes",40,5,"I felt qualified for the job.","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"","No",""," in my state is very closed. If you're not in, you are very out. There is a lot of false camaraderie.",2,4,5,2,"",4,3,2,3,4,3,4,"Yes, didn't receive",1,1,0,NA,3,NA,"",NA,NA,NA,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,-1,0,0,0,0,"New Mexico",5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,"White",3,0.625,0,0,0,1,0.125
"R_20SWShNze9eMXfH","5/27/16 5:58","7/26/16 14:12",5,"Colorado","Urban",5,"White/Caucasian",9,"Married","No","No","Colleague","",2013,"Wasn't sure about running for office but liked the program and/or the idea of leadership training","No","","","No, I haven't sought appointive office","","Yes, very active",1,3,4,2,1,1,1,2,2,4,"Retired","No, retired","","",0,"Yes",23,1,"","No open offices",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"","No","","Finding a local race where I could make a difference. All current office holders share my values and are excelling at their jobs. (I.e. House Majority Leader Crisanta Duran and Senate Minority Leaser Lucia Guzman.)",2,5,5,3,"",4,2,1,4,4,4,5,"Haven't sought",1,1,0,NA,3,NA,"",NA,NA,NA,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"Colorado",5,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,5,"White",3,0.5,0,0,0,1,0.125
"R_20U1I9Gg8yvmFld","8/2/16 16:30","8/2/16 16:38",2,"Oregon","Urban",6,"White/Caucasian",6,"Single","No","Yes","Emerge alum","",2015,"Was considering running for office and wanted to learn more about it","No","","","Yes, I sought an appointive office and received the appointment","Nursing Home Administrators Board","No, not active",2,1,2,1,4,4,2,1,1,3,"Policy Director at a non profit","Yes, full-time","","Yes, mid-level leadership or management",4,"No",NA,5,"More women need to be in politics in order for progressive policies to pass.","",1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,"","Yes","I haven't thought about it that much yet","Helping to connect women with the right types of politicos to get them ready to run.",5,5,5,5,"You have to be middle class (at least seem middle class), present as white or act like white people, and you have to be demure yet tough. Basically, you can't have a record or anything that makes you seem different or unappealing to voters, sin",5,2,2,5,4,5,5,"Yes, received",1,1,0,NA,3,1,"",NA,NA,NA,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,-1,0,0,0,-1,0,1,0,0,0,0,1,"Oregon",4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"Rent",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0.625,3,"White",0,0.625,0,1,1,0,0.375
"R_210MTjnQ4X0MXvJ","6/11/16 15:22","6/11/16 15:28",5,"Nevada","Suburban",8,"Prefer Not to Say",9,"Married","No","No","Emerge alum","",2013,"Wasn't sure about running for office but liked the program and/or the idea of leadership training","No","","","No, I haven't sought appointive office","","Yes, somewhat active",3,2,3,1,3,2,1,1,1,2,"lawyer","Yes, full-time","","No",4,"Yes",32,9,"","still working, too expensive, past the age when it makes sense",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"","No","","none",3,3,4,3,"",4,4,3,4,4,3,3,"Haven't sought",1,0,0,NA,2,1,"",NA,NA,NA,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,"Nevada",5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,5,"Other/Prefer Not to Say",2,0.875,0,0,0,1,0.0625
"R_21aHGLSxssVpvmT","5/7/16 10:55","5/7/16 13:18",4,"California","Urban",5,"White/Caucasian",9,"Married","No","No","Emerge alum","",2011,"Was considering running for office and wanted to learn more about it","No","","","No, I haven't sought appointive office","","Yes, a little active",2,4,3,1,4,3,1,1,3,2,"Nonprofit Executive Director","Yes, full-time","","Yes, high-level leadership or management",2,"Yes",16,6,"","Family commitments and demands of my paid job. I can't risk my income to take a leave and run for office - have two kids in/almost in college",0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,"","Yes","2020","When I decide to run I could probably use a refresher course!",1,4,4,5,"Have to have the dedication, personal time and financial space/resources to do it. Also have to. Have the thick skin for the brutal sport of it!",5,3,3,5,5,3,4,"Haven't sought",1,1,0,NA,3,0,"2020",2020,4,9,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,"California",4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,5,"White",1,0.5,0,0,0,1,0.3125
"R_22nXXkMpV3yg8HR","5/9/16 6:11","5/9/16 6:19",1,"Maryland","Suburban",5,"White/Caucasian",4,"Single","No","Yes","Emerge alum","",2015,"Had decided to run for office and wanted to learn tools and tricks of the trade","No","","","No, I haven't sought appointive office","","Yes, a little active",2,1,3,2,2,2,2,2,2,2,"Special Education Teacher","Yes, full-time","","Yes, mid-level leadership or management",4,"No",NA,4,"","Strong incumbents in all of the seats I would run for.",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"","Yes","2020","Networking opportunities with local officials",3,4,5,5,"Strong, intelligent and dedicated.",5,5,3,5,5,3,5,"Haven't sought",1,1,0,NA,2,1,"2020",2020,4,5,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,-1,-1,0,0,1,"Maryland",1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0.375,2,"White",1,0.5,0,0,1,0,0.125
"R_22PTg5WyA2W62z0","6/11/16 13:15","6/11/16 13:21",2,"I do not reside in the United States","Urban",6,"Other",9,"Married","No","No","Emerge alum","",2005,"Was considering running for office and wanted to learn more about it","No","","","No, I haven't sought appointive office","","Yes, a little active",4,4,1,4,2,2,1,1,1,1,"Liaison","Yes, full-time","","Yes, mid-level leadership or management",2,"Yes",1,9,"","I am currently working for the Dept of Defense and living outside of the US, but I hope to run for office at some point in the future.",0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,"","Yes","I haven't thought about it that much yet","assistance in deciding the steps I need to take once I decide to run for office.",3,3,4,3,"",3,3,2,5,5,3,4,"Haven't sought",1,0,0,NA,3,0,"",NA,NA,NA,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,-1,0,0,"New Mexico",4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,5,"Other/Prefer Not to Say",1,0.625,0,0,0,1,0.3125
"R_22tYZ0ipsz7mGe8","6/11/16 19:42","6/11/16 19:54",4,"New Mexico","Urban",8,"African American",9,"Married","Yes","No","Friend/Family","",2010,"Had decided to run for office and wanted to learn tools and tricks of the trade","Yes","Yes","Judge","Yes, I sought an appointive office and received the appointment","Judge","No, not active",3,4,3,4,3,3,1,1,1,2,"Judge","Yes, full-time","","Yes, high-level leadership or management",1,"Yes",13,4,"Felt that it was the next logical step in my career progression","",0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,"Raising money","Yes","2021","Political networking",5,4,4,2,"",5,3,3,3,4,3,3,"Yes, received",1,0,1,1,3,0,"2021",2021,5,11,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,-1,0,0,1,"New Mexico",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Own",3,"judge",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,1,1,5,"Black",0,0.875,1,0,0,1,0.375
"R_232kHcZEbX4K4Mp","5/9/16 14:48","5/9/16 15:01",2,"New Mexico","Urban",6,"Hispanic/Latino",7,"Single","No","Yes","Colleague","",2014,"Was considering running for office and wanted to learn more about it","No","","","No, I haven't sought appointive office","","Yes, a little active",1,2,4,1,1,1,1,1,2,2,"Foundation Officer","Yes, full-time","","No",2,"No",NA,1,"","Professional conflict at the current time.",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"","Yes","I haven't thought about it that much yet","Strategy. Fundraising.",4,5,5,4,"Driven. Extroverted. With a family and friends ready to campaign for you. With a supportive job or a spouse able to support you.",5,3,1,5,5,3,5,"Haven't sought",1,0,0,NA,3,0,"",NA,NA,NA,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,-1,0,1,0,1,0,0,0,"New Mexico",4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"Rent",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0.75,4,"Latinx",1,0.625,0,1,1,0,0.1875
"R_23eI5yQ6uLAROZP","7/25/16 17:53","7/25/16 18:24",3,"Michigan","Urban",6,"White/Caucasian",6,"Married","No","Yes","Emerge organizer","",2009,"Had previously run for or held office and wanted to improve my next campaign","Yes","No","Bay Area Rapid Transit Board; DCCC","No, I haven't sought appointive office","","No, not active",2,4,1,4,1,2,1,1,1,1,"Transportation Planner","No, other (please explain):","Working as a Sustainability Associate","",0,"Yes",4,5,"To serve people. To make the transit system more equitable and effective","",0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,"Running as a Green, I expected the party to support my race. It didn't and I lost a winnable race. And I was running against a four term millionaire","Yes","2018","Babysitting during my campaign. I'm only half kidding ;). I am not running now because we are new to Michigan and I don't know how long we'll be here due to my wife's job",5,5,5,4,"You can't be as emotionally honest and open in this political environment. If the political environment were to change, women could bring their more full selves to their campaigns and offices",5,1,1,5,4,2,4,"Haven't sought",1,1,1,0,3,NA,"2018",2018,2,9,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,-1,0,0,0,0,0,1,0,"California",3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Own",3,"bay area rapid transit board; dccc",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,0,1,0,0,2,1,0,0,0.625,3,"White",0,0.625,0,0,1,1,0.4375
"R_23lBK6WQG0RJYl7","7/27/16 6:46","7/27/16 6:57",6,"New Mexico","Suburban",6,"White/Caucasian",4,"Married","No","No","Email announcement","",2006,"Had decided to run for office and wanted to learn tools and tricks of the trade","Yes","No","State Representative","No, I haven't sought appointive office","","Yes, very active",2,2,4,1,3,3,1,1,1,2,"Charity volunteer","Yes, part-time","","Yes, high-level leadership or management",2,"Yes",45,4,"To fight for environmental protections, for renewable energy, for women's rights, and more.","",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"running as a progressive in a majority Republican district.","No","","Not going to happen.",4,4,3,2,"",4,3,3,3,4,3,4,"Haven't sought",1,1,1,0,2,0,"",NA,NA,NA,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,"New Mexico",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Own",3,"state representative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,1,0,1,1,0,0,0.375,2,"White",3,0.625,0,0,0,1,0.1875
"R_24AFTX6te3ByPNR","5/10/16 6:58","5/10/16 7:06",1,"Maine","Urban",6,"White/Caucasian",3,"Single","No","No","Emerge alum","",2015,"Was considering running for office and wanted to learn more about it","Yes","No","City Council","No, I haven't sought appointive office","","Yes, very active",1,1,3,1,1,2,1,1,1,2,"Clinical Dietitian","Yes, full-time","","Yes, mid-level leadership or management",4,"No",NA,4,"I care deeply about my community and believe public service is the highest way to serve. I also ran against my current city council who I believe does not have our cities best interest in mind. I also felt there needed to be younger and more wo","",0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,"The emotional toll of campaigning","Yes","2018","As much support as I can get",5,4,5,1,"",5,4,2,4,4,4,4,"Haven't sought",1,1,1,0,3,1,"2018",2018,2,3,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Maine",4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Rent",3,"city council",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,1,0.25,2,"White",3,0.625,0,1,0,0,0.375
"R_24BOc9byGH16n4N","7/25/16 12:17","7/29/16 8:27",2,"Virginia","Suburban",5,"Other",9,"Living with a partner","No","No","Emerge alum","",2015,"Wasn't sure about running for office but liked the program and/or the idea of leadership training","No","","","No, I haven't sought appointive office","","Yes, a little active",4,4,4,1,3,3,1,1,4,2,"Non profit development & management","Yes, full-time","","Yes, mid-level leadership or management",2,"Yes",11,5,"","Time commitment to campaign is far too much for what I'm willing to give at the present time. There are a number of unfair practices going on within the electoral process--not sure I care to be a part of any of it at this point.",0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,"","Yes","I haven't thought about it that much yet",". Emerge should provide more strategy and help identify the right female candidates for the right civic positions.",3,2,4,5,"A very strong one!",3,3,3,4,4,5,5,"Haven't sought",1,0,0,NA,2,0,"",NA,NA,NA,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,-1,1,1,0,0,-1,-1,0,0,"Virginia",5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,5,"Other/Prefer Not to Say",1,0.5,0,0,0,1,0.3125
"R_24GKo6XBNbi4upQ","5/9/16 17:37","8/2/16 17:08",2,"Maine","Rural",4,"White/Caucasian",4,"Separated","No","No","Colleague","",2016,"Was considering running for office and wanted to learn more about it","Yes","No","Board of Selectman","Yes, I sought an appointive office and received the appointment","Planning Board and Comprehensive Planning Board","Yes, a little active",3,3,4,1,4,3,3,1,1,2,"midwife and mother of 3","Yes, part-time","","Yes, high-level leadership or management",1,"Yes",8,5,"I have lots of ideas about how to make the world better","",0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,"I barely did anything to run for the Board of Selectman because I knew nothing back then. But the biggest barriers to me running now are the tremendous amount of time it takes to run - balanced against spending time with my kids, my relationshi","Yes","2018","I'm not sure...",5,5,5,3,"",5,3,1,5,5,4,5,"Yes, received",1,1,1,0,1,0,"2018",2018,2,2,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,"Maine",4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Own",3,"board of selectman",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,0,0.375,2,"White",1,0.375,0,0,0,1,0.5625
"R_24Jk6ZSQqWoliZt","5/28/16 3:41","5/28/16 3:48",3,"Massachusetts","Urban",6,"White/Caucasian",9,"Married","No","No","Friend/Family","",2016,"Had decided to run for office and wanted to learn tools and tricks of the trade","No","","","Yes, I sought an appointive office and received the appointment","Manager within City and Schools","Yes, a little active",2,4,4,4,4,2,3,4,1,2,"Manager within local government","Yes, part-time","","Yes, high-level leadership or management",2,"Yes",4.5,1,"To take the next step in leadership at the local level after working in local government for 15 years.","",0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,"","Yes","2017","Continuing encouragement, community building, and periodic coaching.",1,1,1,2,"",5,5,3,5,5,4,5,"Yes, received",1,1,0,NA,3,0,"2017",2017,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Massachusetts",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Own",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,5,"White",1,0.625,0,0,0,1,0.3125
